,instrument,avg_score,pos_ratio,real_label,error,abs_error,code,name,datetime,n1close,n2high
0,SZ000725,0.24363388,1.0,0.021428585,0.22220529494750976,0.22220529494750976,,,2026-05-21,0.29304904,0.30504158
1,SH600030,0.13692904,1.0,0.012347102,0.12458193783477783,0.12458193783477783,SH600030,中信证券,2026-05-21,45.401344,46.399628
2,SZ002594,0.10546258,1.0,0.023582816,0.0818797638760376,0.0818797638760376,,,2026-05-21,1.4355595,1.4885689
3,SH600570,0.100880206,1.0,0.012390733,0.08848947323480225,0.08848947323480225,SH600570,恒生电子,2026-05-21,132.65822,135.4321
4,SH603392,0.09811133,1.0,-0.03521526,0.13332658859832763,0.13332658859832763,SH603392,万泰生物,2026-05-21,1.9281503,1.9265025
5,SZ002236,0.08477481,1.0,0.0139968395,0.07077797047668458,0.07077797047668458,,,2026-05-21,23.749048,24.267595
6,SH601878,0.07066877,1.0,0.008628964,0.062039805575866705,0.062039805575866705,SH601878,浙商证券,2026-05-21,0.07797162,0.07915184
7,SH601136,0.060653355,1.0,0.0006430149,0.060010340092163085,0.060010340092163085,SH601136,首创证券,2026-05-21,0.15380827,0.15583104
8,SH601456,0.054856356,1.0,0.0021253824,0.05273097357659912,0.05273097357659912,SH601456,国联民生,2026-05-21,0.26065683,0.26291758
9,SH601788,0.053444553,1.0,0.0010719299,0.052372623068359374,0.052372623068359374,SH601788,光大证券,2026-05-21,0.032387625,0.032728683
10,SZ000166,0.051034275,1.0,0.007163286,0.04387098879089355,0.04387098879089355,,,2026-05-21,0.028547196,0.028891698
11,SH600061,0.050444048,1.0,0.010992527,0.03945152099194336,0.03945152099194336,SH600061,国投资本,2026-05-21,4.867911,4.9212704
12,SH600011,0.050241277,1.0,0.019111633,0.03112964369921875,0.03112964369921875,SH600011,华能国际,2026-05-21,1.1008569,1.1354152
13,SZ300122,0.047966827,1.0,-0.026371956,0.07433878287158202,0.07433878287158202,,,2026-05-21,0.4198307,0.42217076
14,SH601995,0.043429796,1.0,0.009518385,0.03391141106652832,0.03391141106652832,SH601995,中金公司,2026-05-21,0.025110357,0.025454178
15,SZ002074,0.033083767,1.0,-0.020956337,0.054040104451934814,0.054040104451934814,,,2026-05-21,3.362627,3.3760097
16,SH601838,0.026600482,1.0,-0.011026561,0.03762704326022339,0.03762704326022339,SH601838,成都银行,2026-05-21,0.36791104,0.36812988
17,SH600845,0.026171707,1.0,-0.036343098,0.06251480468676758,0.06251480468676758,SH600845,宝信软件,2026-05-21,37.074486,37.204086
18,SZ002422,0.023957862,1.0,-0.010370016,0.03432787809802246,0.03432787809802246,,,2026-05-21,0.23230854,0.23418133
19,SH600918,0.02280389,1.0,0.0,0.02280389,0.02280389,SH600918,中泰证券,2026-05-21,0.15135588,0.1518926
20,SH601901,0.01858816,1.0,0.005284071,0.01330408903137207,0.01330408903137207,SH601901,方正证券,2026-05-21,0.25882784,0.26119834
21,SZ001965,0.015703894,1.0,0.008252144,0.007451750140136718,0.007451750140136718,,,2026-05-21,0.13563575,0.13746816
22,SH601728,0.010815414,1.0,-0.004021466,0.01483687977835083,0.01483687977835083,SH601728,中国电信,2026-05-21,0.24239303,0.2424125
23,SZ000333,0.010543399,1.0,-0.005852461,0.016395859861206057,0.016395859861206057,,,2026-05-21,1.4313889,1.4288987
24,SH600795,0.007222804,1.0,0.014284968,-0.007062164376159668,0.007062164376159668,SH600795,国电电力,2026-05-21,38.51567,39.144436
25,SH601059,0.004778803,1.0,0.0074927807,-0.002713977685424805,0.002713977685424805,SH601059,信达证券,2026-05-21,0.12451129,0.12557758
26,SH601236,0.0039492957,1.0,0.0047904253,-0.0008411296005981445,0.0008411296005981445,SH601236,红塔证券,2026-05-21,0.40162084,0.40432188
27,SZ300999,0.0027715876,1.0,-0.00037765503,0.003149242629296875,0.003149242629296875,,,2026-05-21,0.008550435,0.008586485
28,SH600919,0.002404907,1.0,0.0016111135,0.0007937934517211914,0.0007937934517211914,SH600919,江苏银行,2026-05-21,0.38202226,0.3846255
29,SZ000786,0.0018134428,1.0,0.003349185,-0.0015357421899291992,0.0015357421899291992,,,2026-05-21,18.70291,18.89897
30,SH601939,0.0012852596,1.0,0.003968239,-0.0026829792305664065,0.0026829792305664065,SH601939,建设银行,2026-05-21,0.8621126,0.8698084
31,SH601288,0.00080869684,1.0,-0.0027081966,0.0035168934800146484,0.0035168934800146484,SH601288,农业银行,2026-05-21,4.6323457,4.6574793
32,SH600900,0.0003430747,1.0,0.0041707754,-0.0038277007135131837,0.0038277007135131837,SH600900,长江电力,2026-05-21,9.996637,10.098848
