,instrument,avg_score,pos_ratio,real_label,error,abs_error,code,name,datetime,n1close,n2high
0,SH688082,0.2703800495498607,1.0,0.007817388,0.26256266196898914,0.26256266196898914,SH688082,盛美上海,2026-04-02,0.008569986,0.008738323
1,SZ300274,0.2457525363306703,1.0,-0.008436501,0.25418903735682385,0.25418903735682385,,,2026-04-02,9.871642,9.949226
2,SH688008,0.239974257187722,1.0,0.00503242,0.23494183702933577,0.23494183702933577,SH688008,澜起科技,2026-04-02,0.024079593,0.024692815
3,SH600115,0.2256418879514695,1.0,-0.011764765,0.2374066527372361,0.2374066527372361,SH600115,中国东航,2026-04-02,0.51835924,0.51703614
4,SH600547,0.1915680160315899,1.0,-0.012187302,0.20375531814416925,0.20375531814416925,SH600547,山东黄金,2026-04-02,176.39447,176.00117
5,SH688111,0.1915317635646811,1.0,-0.010002553,0.20153431702766328,0.20153431702766328,SH688111,金山办公,2026-04-02,0.014809996,0.014905437
6,SZ300433,0.1858518740352594,1.0,0.013280511,0.17257136313285462,0.17257136313285462,,,2026-04-02,0.9377684,0.9804798
7,SH600893,0.1854585171287061,1.0,-0.050471902,0.2359304190223218,0.2359304190223218,SH600893,航发动力,2026-04-02,6.326158,6.4016256
8,SH600183,0.179439344578921,1.0,0.051426172,0.12801317232245127,0.12801317232245127,SH600183,生益科技,2026-04-02,50.615017,53.97947
9,SZ000630,0.1780272478202452,1.0,0.012196541,0.16583070698772567,0.16583070698772567,,,2026-04-02,21.436909,21.810698
10,SH603986,0.1724347824950653,1.0,0.0022461414,0.17018864106134948,0.17018864106134948,SH603986,兆易创新,2026-04-02,7.084615,7.27969
11,SZ002601,0.1702073855811955,1.0,0.019283295,0.15092409090346112,0.15092409090346112,,,2026-04-02,0.22558968,0.23046632
12,SH688506,0.1579697259589858,1.0,-0.013746619,0.17171634518353415,0.17171634518353415,SH688506,百利天恒,2026-04-02,0.30522704,0.3083131
13,SZ300896,0.1564772795962881,1.0,0.006048918,0.15042836182590236,0.15042836182590236,,,2026-04-02,0.006883335,0.0069451854
14,SH601868,0.1558940309096376,1.0,0.0067340136,0.14916001735220352,0.14916001735220352,SH601868,中国能建,2026-04-02,0.41361704,0.42211694
15,SH601169,0.1552934660365437,1.0,-0.008955181,0.16424864668153272,0.16424864668153272,SH601169,北京银行,2026-04-02,0.2566756,0.25679785
16,SH601816,0.1544682023960657,1.0,-0.0055046678,0.15997287015500736,0.15997287015500736,SH601816,京沪高铁,2026-04-02,0.12832884,0.12844145
17,SH603893,0.1491168768159899,1.0,-0.007990062,0.15710693905277578,0.15710693905277578,SH603893,瑞芯微,2026-04-02,0.8176798,0.8316968
18,SZ002050,0.1479539547142396,1.0,-0.003109157,0.1510631117996583,0.1510631117996583,,,2026-04-02,141.36797,142.547
19,SZ002625,0.1468354569944481,1.0,-0.008229017,0.15506447425213854,0.15506447425213854,,,2026-04-02,4.6319103,4.6602225
20,SH603993,0.1434472110644256,1.0,0.004648328,0.13879888323697198,0.13879888323697198,SH603993,洛阳钼业,2026-04-02,2.5637238,2.589023
21,SH600926,0.1410808062919259,1.0,-0.0024824739,0.14356328014217615,0.14356328014217615,SH600926,杭州银行,2026-04-02,0.27092656,0.27279085
22,SH603799,0.1396707916791392,1.0,0.007963061,0.13170773034643657,0.13170773034643657,SH603799,华友钴业,2026-04-02,7.966073,8.126227
