,instrument,avg_score,pos_ratio,real_label,error,abs_error,code,name,datetime,n1close,n2high
0,SH601021,0.1883284982475635,1.0,0.006146908,0.18218159044116702,0.18218159044116702,SH601021,春秋航空,2026-03-24,0.3035516,0.3121118
1,SZ300394,0.1778712998782038,1.0,0.021693826,0.15617747415646308,0.15617747415646308,,,2026-03-24,32.947395,35.11229
2,SH600875,0.1757900954514203,1.0,-0.030158937,0.20594903242880677,0.20594903242880677,SH600875,东方电气,2026-03-24,7.515936,7.515561
3,SH600115,0.1615544673013944,1.0,-0.016447365,0.17800183258536045,0.17800183258536045,SH600115,中国东航,2026-03-24,0.530136,0.54293567
4,SZ002493,0.1401412162546973,1.0,-0.009210706,0.14935192201183842,0.14935192201183842,,,2026-03-24,0.7294336,0.75078917
5,SZ002384,0.1238687921571835,1.0,-0.036123395,0.15999218712330898,0.15999218712330898,,,2026-03-24,1.2854847,1.2986981
6,SH600026,0.1135306611661508,1.0,-0.056505382,0.17003604322715543,0.17003604322715543,SH600026,中远海能,2026-03-24,4.606353,4.605859
7,SH600346,0.1101423110664455,1.0,-0.017202258,0.1273445691764919,0.1273445691764919,SH600346,恒力石化,2026-03-24,7.8230557,7.89958
8,SZ002001,0.1088794320371278,1.0,-0.0075909495,0.11647038157249767,0.11647038157249767,,,2026-03-24,119.65962,121.58345
9,SZ300418,0.0907638212409516,0.5,-0.0035442114,0.09430803262858588,0.09430803262858588,,,2026-03-24,0.9758952,1.0132837
10,SZ301236,0.0896103176867119,0.5,-0.030160844,0.11977116201273119,0.11977116201273119,,,2026-03-24,0.05592521,0.05604912
11,SH600989,0.0888879658938874,1.0,-0.0181818,0.10706976673617255,0.10706976673617255,SH600989,宝丰能源,2026-03-24,0.16938381,0.17226492
12,SZ300433,0.0851223570698893,0.5,-0.015357912,0.10048026865665077,0.10048026865665077,,,2026-03-24,0.98758096,1.0109885
13,SH688169,0.0823409831936832,0.5,-0.019058287,0.10139927033739048,0.10139927033739048,SH688169,石头科技,2026-03-24,0.007955573,0.008013545
14,SH601898,0.0789744743733333,1.0,0.027122736,0.051851738396160446,0.051851738396160446,SH601898,中煤能源,2026-03-24,0.07561314,0.07876075
15,SH603993,0.0781175300933655,1.0,-0.022306502,0.10042403195875246,0.10042403195875246,SH603993,洛阳钼业,2026-03-24,2.6176279,2.6457117
16,SH601689,0.0733858276545398,0.5,0.006277561,0.06710826646679566,0.06710826646679566,SH601689,拓普集团,2026-03-24,1.1559843,1.199301
17,SH600489,0.0733430092195672,0.5,-0.018811285,0.09215429471532526,0.09215429471532526,SH600489,中金黄金,2026-03-24,58.12296,58.71482
18,SH601872,0.0720973312001219,1.0,-0.041226923,0.11332425466585067,0.11332425466585067,SH601872,招商轮船,2026-03-24,1.30131,1.3001639
19,SZ002601,0.0711784282168223,1.0,-0.013771296,0.08494972376430765,0.08494972376430765,,,2026-03-24,0.2298024,0.23243836
20,SH688111,0.0709788296233903,0.5,-0.012805998,0.0837848279487382,0.0837848279487382,SH688111,金山办公,2026-03-24,0.015689034,0.016100975
21,SZ301269,0.0687728962703531,0.5,-0.018847764,0.0876206598087137,0.0876206598087137,,,2026-03-24,0.015058022,0.015110552
22,SH600893,0.0683030953781147,1.0,-0.031825304,0.10012839940948677,0.10012839940948677,SH600893,航发动力,2026-03-24,6.401721,6.4552245
23,SH603260,0.0671702124505476,0.5,-0.032855153,0.10002536553434888,0.10002536553434888,SH603260,合盛硅业,2026-03-24,0.12550741,0.12501894
24,SH600150,0.06582749573246,0.5,-0.03704399,0.10287148443714139,0.10287148443714139,SH600150,中国船舶,2026-03-24,7.1577983,7.1578684
25,SH601058,0.0636230533895253,1.0,-0.023765266,0.08738831933114517,0.08738831933114517,SH601058,赛轮轮胎,2026-03-24,4.191749,4.210179
26,SH688012,0.0632630507263479,0.5,-0.01793462,0.08119767110674951,0.08119767110674951,SH688012,中微公司,2026-03-24,0.0479983,0.04799577
27,SZ000338,0.0623717530841809,0.5,-0.030177593,0.09254934631538207,0.09254934631538207,,,2026-03-24,3.1975596,3.2249577
28,SH605117,0.062198640456082,1.0,0.0057492256,0.05644941483962692,0.05644941483962692,SH605117,德业股份,2026-03-24,1.7529749,1.8067135
29,SH600362,0.0620459274906471,0.5,-0.011869729,0.07391565605586317,0.07391565605586317,SH600362,江西铜业,2026-03-24,7.023586,7.1158686
30,SH600760,0.060804169101863,0.5,-0.025294602,0.08609877101912985,0.08609877101912985,SH600760,中航沈飞,2026-03-24,5.6630173,5.650438
31,SH600188,0.0598111962319952,1.0,0.042171597,0.017639598751221272,0.017639598751221272,SH600188,兖矿能源,2026-03-24,34.077858,35.827133
32,SZ300316,0.0592183140311479,0.5,-0.028633475,0.0878517893347978,0.0878517893347978,,,2026-03-24,3.3984733,3.4153972
33,SH603799,0.0584687685544656,0.5,-0.014695227,0.07316399570061428,0.07316399570061428,SH603799,华友钴业,2026-03-24,8.19024,8.30329
34,SZ002050,0.0579853269081892,0.5,0.008733034,0.04925229277427807,0.04925229277427807,,,2026-03-24,146.73135,151.72336
35,SH688396,0.0573535717388853,0.5,-0.021113217,0.07846678861586895,0.07846678861586895,SH688396,华润微,2026-03-24,0.026913358,0.026945338
36,SH600029,0.0567433509972664,1.0,-0.012232423,0.06897577382594072,0.06897577382594072,SH600029,南方航空,2026-03-24,1.1098188,1.1423897
37,SZ300803,0.0553936327059669,0.5,-0.038924813,0.09431844597653574,0.09431844597653574,,,2026-03-24,2.6406136,2.641406
38,SH601919,0.0539013014329807,1.0,0.0060589314,0.04784237008227269,0.04784237008227269,SH601919,中远海控,2026-03-24,0.323921,0.32934177
39,SZ002625,0.0532196552904793,0.5,-0.033185303,0.08640495850169146,0.08640495850169146,,,2026-03-24,4.929533,4.9504247
40,SZ002422,0.0518842049399362,1.0,-0.032223105,0.08410731037053923,0.08410731037053923,,,2026-03-24,0.2158461,0.21819939
41,SZ300347,0.0518511414629195,0.5,0.0059400797,0.04591106177389362,0.04591106177389362,,,2026-03-24,3.328728,3.4401493
42,SH688082,0.050751178807746,1.0,-0.0520854,0.10283657843543155,0.10283657843543155,SH688082,盛美上海,2026-03-24,0.009189081,0.009130918
43,SH600482,0.0505455639037183,1.0,-0.024124205,0.07466976901617559,0.07466976901617559,SH600482,中国动力,2026-03-24,6.9435825,6.9496503
44,SH600183,0.0487638630092167,0.5,-0.04135275,0.09011661188006631,0.09011661188006631,SH600183,生益科技,2026-03-24,55.72503,55.90783
45,SH601006,0.0481566654757672,1.0,0.022206306,0.025950359018247666,0.025950359018247666,SH601006,大秦铁路,2026-03-24,1.2113196,1.2421715
46,SZ300750,0.0478310941364796,0.5,0.011786938,0.036044156422856556,0.036044156422856556,,,2026-03-24,1.1183906,1.1631134
47,SH603501,0.0460016267697774,0.5,-0.02293384,0.06893546752142535,0.06893546752142535,SH603501,豪威集团,2026-03-24,1.8961028,1.8928714
48,SZ302132,0.0453834663941531,0.5,-0.034335315,0.07971878162166166,0.07971878162166166,,,2026-03-24,0.5478125,0.54318804
49,SZ000630,0.0452297051116158,0.5,-0.022005618,0.0672353227301766,0.0672353227301766,,,2026-03-24,22.033525,22.182245
50,SH600584,0.0444609183074399,0.5,-0.029762208,0.07422312676920137,0.07422312676920137,SH600584,长电科技,2026-03-24,5.156869,5.1722174
51,SH688008,0.044312698204181,1.0,-0.035326242,0.07963894065108042,0.07963894065108042,SH688008,澜起科技,2026-03-24,0.026872098,0.026555505
52,SH600036,0.0437623058454579,1.0,0.0076221228,0.0361401830808705,0.0361401830808705,SH600036,招商银行,2026-03-24,14.520418,14.678897
53,SH601888,0.0435952067832309,0.5,-0.015734792,0.05932999853890717,0.05932999853890717,SH601888,中国中免,2026-03-24,1.3233037,1.3288285
54,SH601111,0.0434302201987987,1.0,-0.0138888955,0.057319115710425896,0.057319115710425896,SH601111,中国国航,2026-03-24,1.1561873,1.1725606
55,SZ000858,0.0431262338530862,1.0,-0.0114200115,0.05454624537347194,0.05454624537347194,,,2026-03-24,19.609896,19.694122
56,SZ000301,0.0428320152312761,0.5,-0.017516553,0.06034856863322312,0.06034856863322312,,,2026-03-24,0.3512488,0.35943523
57,SH600015,0.0427922274798232,1.0,-0.0040485263,0.046840753766902055,0.046840753766902055,SH600015,华夏银行,2026-03-24,5.3852067,5.424121
58,SZ002241,0.0423805134218762,0.5,-0.02657783,0.06895834373651244,0.06895834373651244,,,2026-03-24,13.851953,13.8875
59,SZ000975,0.0423742871393386,0.5,-0.021142542,0.06351682950155174,0.06351682950155174,,,2026-03-24,15.616455,15.747467
60,SZ002028,0.0410382756872196,0.5,-0.012213707,0.053251982657434443,0.053251982657434443,,,2026-03-24,141.2495,142.3115
61,SH601877,0.040795289534028,0.5,-0.022887826,0.06368311549990935,0.06368311549990935,SH601877,正泰电器,2026-03-24,0.17060359,0.17211424
62,SH600547,0.0400203735460102,1.0,-0.038676023,0.07869639702928657,0.07869639702928657,SH600547,山东黄金,2026-03-24,173.63158,174.02638
63,SH601939,0.0386747933698804,0.5,0.0051215887,0.03355320466291019,0.03355320466291019,SH601939,建设银行,2026-03-24,0.80161023,0.80981964
64,SH601100,0.038461060220087,0.5,0.005250931,0.03321012943395419,0.03321012943395419,SH601100,恒立液压,2026-03-24,2.152925,2.218166
65,SZ000895,0.0372268503695733,0.5,0.010265827,0.026961023190618223,0.026961023190618223,,,2026-03-24,63.169945,64.559586
66,SH600309,0.0370899937239785,0.5,0.009942412,0.02714758134757469,0.02714758134757469,SH600309,万华化学,2026-03-24,144.36047,148.85039
67,SZ001965,0.0357144991659349,1.0,0.0059171915,0.029797307660502773,0.029797307660502773,,,2026-03-24,0.13760534,0.13991168
68,SZ000768,0.0353953984590409,0.5,-0.023424208,0.058819606623255985,0.058819606623255985,,,2026-03-24,3.3793876,3.3673575
69,SZ000538,0.0345465572946019,0.5,-0.020400882,0.054947439061874846,0.054947439061874846,,,2026-03-24,73.81872,74.018616
70,SH600000,0.0338808293193572,0.5,-0.0039973855,0.037878214821218774,0.037878214821218774,SH600000,浦发银行,2026-03-24,4.254192,4.2875695
71,SH600515,0.0336394636590258,0.5,-0.01827246,0.051911923166014326,0.051911923166014326,SH600515,海南机场,2026-03-24,0.23024471,0.23247644
72,SH601988,0.033585749557536,0.5,0.0055787563,0.02800699322513854,0.02800699322513854,SH601988,中国银行,2026-03-24,2.5794487,2.6035848
73,SH601633,0.0328126054110994,0.5,-0.008074224,0.04088682940630814,0.04088682940630814,SH601633,长城汽车,2026-03-24,2.3461938,2.3678079
74,SH688126,0.0318090009349382,0.5,-0.01572144,0.04753044125018478,0.04753044125018478,SH688126,沪硅产业,2026-03-24,0.15004978,0.15073924
75,SH601688,0.0318031093936356,0.5,-0.02733481,0.05913791869691929,0.05913791869691929,SH601688,华泰证券,2026-03-24,0.082669884,0.082690336
76,SH601229,0.0316114682776981,0.5,0.0,0.0316114682776981,0.0316114682776981,SH601229,上海银行,2026-03-24,0.21172506,0.21453078
77,SH600900,0.0310924897267964,0.5,0.003683567,0.027408922679677258,0.027408922679677258,SH600900,长江电力,2026-03-24,10.240406,10.330903
78,SZ002371,0.0304289631511039,0.5,-0.038969994,0.06939895674241249,0.06939895674241249,,,2026-03-24,5.5611453,5.53
79,SH603893,0.0299109917805677,0.5,-0.027573228,0.05748421966295295,0.05748421966295295,SH603893,瑞芯微,2026-03-24,0.84379804,0.84266496
80,SH601127,0.0293648119318077,0.5,-0.026401281,0.05576609328861923,0.05576609328861923,SH601127,赛力斯,2026-03-24,1.5234017,1.5336888
81,SH600233,0.0281324728523955,0.5,0.008032799,0.020099674085305656,0.020099674085305656,SH600233,圆通速递,2026-03-24,1.7721405,1.7970357
82,SZ300442,0.027157473829917,0.5,-0.038441062,0.06559853580348877,0.06559853580348877,,,2026-03-24,0.42953673,0.4305234
83,SH601077,0.0267239467248837,1.0,0.017612576,0.009111370240203524,0.009111370240203524,SH601077,渝农商行,2026-03-24,0.16995081,0.17400442
84,SH600111,0.0261795126210932,0.5,-0.033667207,0.05984671938531439,0.05984671938531439,SH600111,北方稀土,2026-03-24,97.878654,96.916794
85,SZ000977,0.0259852120280336,0.5,-0.026516378,0.0525015899539064,0.0525015899539064,,,2026-03-24,2.9922245,3.0199916
86,SH600160,0.0257382888967956,0.5,-0.011649191,0.03738748027634272,0.03738748027634272,SH600160,巨化股份,2026-03-24,26.043276,26.419962
87,SH688223,0.0256947839912386,0.5,-0.05742818,0.08312296516265584,0.08312296516265584,SH688223,晶科能源,2026-03-24,0.07447648,0.07497449
88,SH688041,0.0248934246401845,0.5,0.006004691,0.018888733516222098,0.018888733516222098,SH688041,海光信息,2026-03-24,0.06060965,0.06356801
89,SZ002600,0.0240872777131824,0.5,-0.0075393915,0.03162666923082156,0.03162666923082156,,,2026-03-24,0.6453588,0.65217525
90,SZ000807,0.0240549458149953,0.5,-0.009818375,0.03387332092562152,0.03387332092562152,,,2026-03-24,41.504837,42.457638
91,SZ300498,0.0240548168922855,0.5,-0.010145307,0.03420012347950474,0.03420012347950474,,,2026-03-24,0.02580265,0.025998764
92,SH600377,0.0238222418685262,1.0,0.016542077,0.00728016480401204,0.00728016480401204,SH600377,宁沪高速,2026-03-24,2.9136767,2.9812748
93,SH688303,0.0234792982444438,0.5,-0.019421518,0.04290081609341231,0.04290081609341231,SH688303,大全能源,2026-03-24,0.007180481,0.007240132
94,SH600674,0.0232960801313342,0.5,-0.0044664145,0.027762494582933322,0.027762494582933322,SH600674,川投能源,2026-03-24,70.10944,70.37627
95,SH601336,0.0230346238259807,0.5,-0.042819977,0.06585460063262133,0.06585460063262133,SH601336,新华保险,2026-03-24,0.16813537,0.16787337
96,SH600886,0.0224797586313669,1.0,0.013626933,0.008852825533527543,0.008852825533527543,SH600886,国投电力,2026-03-24,28.92692,29.478828
97,SH601328,0.0217927245692564,0.5,0.0043079853,0.017484739263470266,0.017484739263470266,SH601328,交通银行,2026-03-24,0.27580842,0.2781846
98,SZ000617,0.0217041134713478,0.5,-0.054526567,0.07623068093045425,0.07623068093045425,,,2026-03-24,6.2372413,6.184777
99,SH600588,0.0214730464725633,0.5,-0.029227734,0.05070078008462385,0.05070078008462385,SH600588,用友网络,2026-03-24,4.444009,4.462443
100,SH600919,0.0210911323757284,1.0,0.008310318,0.012780814382564336,0.012780814382564336,SH600919,江苏银行,2026-03-24,0.37030318,0.3757713
101,SH688047,0.0209278648773178,0.5,0.006337762,0.014590102998350514,0.014590102998350514,SH688047,龙芯中科,2026-03-24,0.01750181,0.018302217
102,SZ002916,0.0204903922400921,0.5,-0.023909688,0.04440008023600274,0.04440008023600274,,,2026-03-24,1.7140493,1.7272257
103,SZ300661,0.0202054611671403,0.5,-0.012183845,0.03238930621032267,0.03238930621032267,,,2026-03-24,3.8142545,3.9052322
104,SH688472,0.019557760357523,0.5,-0.027834356,0.047392116188669245,0.047392116188669245,SH688472,阿特斯,2026-03-24,0.088475294,0.09006227
105,SH600460,0.0190393508102253,0.5,-0.026569426,0.0456087768699482,0.0456087768699482,SH600460,士兰微,2026-03-24,13.38182,13.376335
106,SZ300033,0.0189654179113127,0.5,-0.047398746,0.06636416392495406,0.06636416392495406,,,2026-03-24,5.4814687,5.4522715
107,SH601766,0.0181688746349279,0.5,-0.012875557,0.03104443158072868,0.03104443158072868,SH601766,中国中车,2026-03-24,1.1474572,1.1485704
108,SZ300413,0.0178981792572296,0.5,-0.020075977,0.037974156105831894,0.037974156105831894,,,2026-03-24,0.382634,0.38470602
109,SZ300896,0.0171451796489399,0.5,-0.03507048,0.05221565856510811,0.05221565856510811,,,2026-03-24,0.0074907467,0.007497235
110,SZ000786,0.0170795765202262,0.5,-0.011779368,0.028858944443962774,0.028858944443962774,,,2026-03-24,20.03893,20.164541
111,SH600010,0.0166084958039926,0.5,-0.0309183,0.04752679595581755,0.04752679595581755,SH600010,包钢股份,2026-03-24,4.4436326,4.4444532
112,SH603986,0.0165547308395786,0.5,-0.058910787,0.07546551794513891,0.07546551794513891,SH603986,兆易创新,2026-03-24,7.9180007,7.6420784
113,SH601009,0.0159359235557033,0.5,0.0070654154,0.008870508173318047,0.008870508173318047,SH601009,南京银行,2026-03-24,1.5678158,1.5857581
114,SH603392,0.0156475391341021,0.5,-0.019362628,0.03501016759403252,0.03501016759403252,SH603392,万泰生物,2026-03-24,2.0965698,2.1253316
115,SH601600,0.0154977363719475,1.0,-0.017529905,0.03302764121432421,0.03302764121432421,SH601600,中国铝业,2026-03-24,0.039939195,0.040169522
116,SH600570,0.0152125499940939,0.5,-0.031780124,0.04699267370472622,0.04699267370472622,SH600570,恒生电子,2026-03-24,132.50331,132.0932
117,SZ002714,0.0148568435116322,0.5,-0.011685669,0.026542512933781858,0.026542512933781858,,,2026-03-24,14.611084,14.702812
118,SH600406,0.0140997389649381,0.5,-0.019256234,0.03335597313394445,0.03335597313394445,SH600406,国电南瑞,2026-03-24,306.35147,308.35678
119,SZ300408,0.0138756660977526,0.5,-0.0068168044,0.0206924705067797,0.0206924705067797,,,2026-03-24,0.6101657,0.61458194
120,SH601901,0.0134604426185112,0.5,-0.0212484,0.03470884282984543,0.03470884282984543,SH601901,方正证券,2026-03-24,0.25755903,0.2576218
121,SH603288,0.013205878104454,0.5,-0.0013538003,0.014559678401237447,0.014559678401237447,SH603288,海天味业,2026-03-24,0.6472489,0.65459275
122,SH601899,0.0130885209515658,1.0,-0.034554303,0.04764282364397913,0.04764282364397913,SH601899,紫金矿业,2026-03-24,0.8127137,0.81278545
123,SH601628,0.0120722359380346,0.5,-0.044231176,0.056303412314377375,0.056303412314377375,SH601628,中国人寿,2026-03-24,0.04716542,0.046994515
124,SH601998,0.0116766482367105,0.5,0.013545394,-0.0018687457070761214,0.0018687457070761214,SH601998,中信银行,2026-03-24,0.2696801,0.2753564
125,SH601166,0.0109815085572395,0.5,0.0064026117,0.00457889682475659,0.00457889682475659,SH601166,兴业银行,2026-03-24,1.2951581,1.3103622
126,SH601211,0.0101982061925609,0.5,-0.025974035,0.03617224145562242,0.03617224145562242,SH601211,国泰海通,2026-03-24,0.038496237,0.038532343
127,SZ000651,0.0092482555683123,0.5,-0.004982412,0.014230667429731978,0.014230667429731978,,,2026-03-24,474.224,476.96063
128,SH601816,0.0089753737971328,0.5,0.0036901236,0.005285250239088367,0.005285250239088367,SH601816,京沪高铁,2026-03-24,0.12767842,0.1288746
129,SH601012,0.0089034969365817,1.0,-0.027507186,0.03641068287255582,0.03641068287255582,SH601012,隆基绿能,2026-03-24,18.844711,19.01511
130,SH601818,0.0085586146834797,0.5,0.0,0.0085586146834797,0.0085586146834797,SH601818,光大银行,2026-03-24,1.0583665,1.0647808
131,SH600426,0.0085037339961321,0.5,0.015818715,-0.00731498109938792,0.00731498109938792,SH600426,华鲁恒升,2026-03-24,55.50644,57.182644
132,SH600930,0.008212729860393,1.0,-0.025469065,0.033681794572917416,0.033681794572917416,SH600930,华电新能,2026-03-24,0.14548722,0.14788179
133,SZ002230,0.007897655911468,0.5,-0.021018028,0.028915684170745345,0.028915684170745345,,,2026-03-24,9.622802,9.632987
134,SH688271,0.0072849587010385,0.5,-0.021170974,0.028455932478809495,0.028455932478809495,SH688271,联影医疗,2026-03-24,0.0035152677,0.0035118214
135,SH688506,0.0070952754985015,0.5,-0.030860364,0.037955639935604774,0.037955639935604774,SH688506,百利天恒,2026-03-24,0.256152,0.26333657
136,SH600372,0.0066596337163757,0.5,-0.017612576,0.024272210201055876,0.024272210201055876,SH600372,中航机载,2026-03-24,0.6665714,0.6660411
137,SH600519,0.0060935680191217,0.5,-0.00644511,0.012538677863329463,0.012538677863329463,SH600519,贵州茅台,2026-03-24,79.60489,79.80987
138,SH600018,0.0060517565353747,0.5,-0.0057404637,0.011792220269047795,0.011792220269047795,SH600018,上港集团,2026-03-24,1.0255353,1.0316852
139,SH600025,0.0058403945832371,1.0,0.003968239,0.0018721557526706935,0.0018721557526706935,SH600025,华能水电,2026-03-24,1.5942494,1.6162543
140,SZ002920,0.0052039395825587,0.5,-0.026417434,0.031621373798104355,0.031621373798104355,,,2026-03-24,0.1389801,0.13878706
