,instrument,avg_score,pos_ratio,real_label,error,abs_error,code,name,datetime,n1close,n2high
0,SH601939,0.168736805991554,1.0,0.017505527,0.15123127944889042,0.15123127944889042,SH601939,建设银行,2026-03-20,0.7815579,0.7995358
1,SH601009,0.1507214908590138,1.0,0.025670886,0.1250506048192799,0.1250506048192799,SH601009,南京银行,2026-03-20,1.525658,1.5773184
2,SH600027,0.1439839853788572,1.0,0.028960824,0.11502316136610086,0.11502316136610086,SH600027,华电国际,2026-03-20,1.323467,1.3639344
3,SH601916,0.1412829668723485,1.0,0.03883493,0.10244803740610095,0.10244803740610095,SH601916,浙商银行,2026-03-20,0.23060323,0.24000278
4,SH601229,0.1266009639438009,1.0,0.022884011,0.10371695267518519,0.10371695267518519,SH601229,上海银行,2026-03-20,0.20817436,0.2151137
5,SZ002415,0.1261333409719293,1.0,0.00899601,0.11713733114526914,0.11713733114526914,,,2026-03-20,2.5361128,2.5758271
6,SH601658,0.1252890208402883,1.0,0.028571486,0.09671753436720482,0.09671753436720482,SH601658,邮储银行,2026-03-20,0.28793716,0.29672015
7,SZ001965,0.1229561757433688,1.0,0.0076161623,0.11534001344325893,0.11534001344325893,,,2026-03-20,0.13359816,0.13576981
8,SH601006,0.1217943581359464,1.0,0.0057554245,0.11603893363643468,0.11603893363643468,SH601006,大秦铁路,2026-03-20,1.2054958,1.2193727
9,SH603259,0.1166104492523908,1.0,0.06709039,0.04952005713965886,0.04952005713965886,SH603259,药明康德,2026-03-20,0.5879185,0.6273613
10,SZ300498,0.1128643810973714,1.0,0.0027548075,0.1101095736251424,0.1101095736251424,,,2026-03-20,0.025684603,0.025933245
11,SH600036,0.1104774506723376,1.0,0.014715195,0.09576225597018916,0.09576225597018916,SH600036,招商银行,2026-03-20,14.305916,14.542019
12,SH601838,0.1063438853250156,1.0,0.024576306,0.08176757898193698,0.08176757898193698,SH601838,成都银行,2026-03-20,0.3300743,0.33895883
13,SH600926,0.1054074918874541,1.0,0.017937183,0.08747030850732715,0.08747030850732715,SH600926,杭州银行,2026-03-20,0.25908,0.26516387
14,SH601988,0.1012728603195067,1.0,0.014357448,0.08691541269530016,0.08691541269530016,SH601988,中国银行,2026-03-20,2.5063114,2.5503724
15,SH603195,0.0991849011117586,1.0,0.01609099,0.08309391199890459,0.08309391199890459,SH603195,公牛集团,2026-03-20,0.06517935,0.06624184
16,SZ300014,0.0991758819497178,1.0,-0.014480174,0.11365605553751687,0.11365605553751687,,,2026-03-20,12.826944,12.947775
17,SH600900,0.0989347436033231,1.0,0.013513446,0.0854212977491361,0.0854212977491361,SH600900,长江电力,2026-03-20,10.063898,10.211697
18,SH601328,0.0988958720437173,1.0,0.022614479,0.0762813929787759,0.0762813929787759,SH601328,交通银行,2026-03-20,0.26919946,0.2757248
19,SH600377,0.0952735381910731,1.0,0.013429046,0.08184449251388805,0.08184449251388805,SH600377,宁沪高速,2026-03-20,2.8519516,2.9069426
20,SH601816,0.0941777962274783,1.0,0.009487629,0.08469016729071072,0.08469016729071072,SH601816,京沪高铁,2026-03-20,0.124172114,0.12576428
21,SZ000538,0.0933895972003619,1.0,0.010015011,0.08337458636662166,0.08337458636662166,,,2026-03-20,73.218925,74.19238
22,SZ300750,0.0884952706625511,1.0,-0.012442052,0.10093732302690046,0.10093732302690046,,,2026-03-20,1.130133,1.1579843
23,SH600600,0.084265453639685,1.0,0.024845243,0.05942021113937983,0.05942021113937983,SH600600,青岛啤酒,2026-03-20,2.6328008,2.6982286
24,SH601166,0.0826719544749454,1.0,0.026340485,0.05633146985580477,0.05633146985580477,SH601166,兴业银行,2026-03-20,1.2592694,1.2931607
25,SH601077,0.082478946538236,1.0,0.012987018,0.06949192890670523,0.06949192890670523,SH601077,渝农商行,2026-03-20,0.16659291,0.16898282
