,instrument,avg_score,pos_ratio,real_label,error,abs_error,code,name,datetime,n1close,n2high
0,SH603392,0.0051230252400136,1.0,-0.012522817,0.01764584189803362,0.01764584189803362,SH603392,万泰生物,2026-04-24,2.093173,2.0833597
1,SH600919,0.0051230252400136,1.0,0.010638237,-0.005515211759498119,0.005515211759498119,SH600919,江苏银行,2026-04-24,0.38563272,0.39074975
2,SH601988,0.0051230252400136,1.0,0.00873661,-0.0036135851725840563,0.0036135851725840563,SH601988,中国银行,2026-04-24,2.6761162,2.7042925
3,SH601398,0.0051230252400136,1.0,0.0026665926,0.002456432642052174,0.002456432642052174,SH601398,工商银行,2026-04-24,4.351259,4.368672
4,SZ000895,0.0051230252400136,1.0,0.010772347,-0.005649322210242748,0.005649322210242748,,,2026-04-24,66.68995,67.59397
5,SH601006,0.0051230252400136,1.0,0.025179863,-0.02005683773606062,0.02005683773606062,SH601006,大秦铁路,2026-04-24,1.2054958,1.2364109
6,SH600161,0.0025764597485207,1.0,-0.008274496,0.010850955350174753,0.010850955350174753,SH600161,天坛生物,2026-04-24,6.217425,6.2562304
7,SH600011,0.0025764597485207,1.0,-0.0059831142,0.008559573991074411,0.008559573991074411,SH600011,华能国际,2026-04-24,1.0456196,1.0466444
8,SH600276,0.0025764597485207,1.0,-0.009752572,0.01232903133131489,0.01232903133131489,SH600276,恒瑞医药,2026-04-24,306.92444,317.8414
9,SH600900,0.0025764597485207,1.0,0.0025721788,4.280907883492946e-06,4.280907883492946e-06,SH600900,长江电力,2026-04-24,10.034446,10.078537
10,SH601658,0.0025764597485207,1.0,0.009985685,-0.007409225599990042,0.007409225599990042,SH601658,邮储银行,2026-04-24,0.30318177,0.30629325
11,SZ000858,0.0025465642086635,1.0,0.0,0.0025465642086635,0.0025465642086635,,,2026-04-24,19.179222,19.19645
12,SH600039,0.0025465642086635,1.0,-0.010945559,0.013492122756637134,0.013492122756637134,SH600039,四川路桥,2026-04-24,23.069506,23.121002
13,SH601288,0.0025465642086635,1.0,0.008376241,-0.0058296765216221446,0.0058296765216221446,SH601288,农业银行,2026-04-24,4.7747407,4.8202267
14,SH601229,0.0025465642086635,1.0,-0.0063465834,0.008893147575057544,0.008893147575057544,SH601229,上海银行,2026-04-24,0.20804572,0.20864171
15,SH601939,0.0025465642086635,1.0,0.012422323,-0.00987575901826521,0.00987575901826521,SH601939,建设银行,2026-04-24,0.8261201,0.83725715
16,SH601298,0.0025465642086635,1.0,0.018379211,-0.01583264721711775,0.01583264721711775,SH601298,青岛港,2026-04-24,0.36391562,0.37158814
17,SZ000001,0.0025465642086635,1.0,0.007032275,-0.004485710991226637,0.004485710991226637,,,2026-04-24,1.3130113,1.3222479
18,SH601328,0.0025465642086635,1.0,0.009037733,-0.00649116886933943,0.00649116886933943,SH601328,交通银行,2026-04-24,0.2793032,0.28193006
19,SH600023,0.0024615664933474,1.0,0.019031167,-0.016569600536987073,0.016569600536987073,SH600023,浙能电力,2026-04-24,0.29319862,0.29979303
20,SZ000651,0.0015012178552823,1.0,0.024792671,-0.023291453348330982,0.023291453348330982,,,2026-04-24,466.51346,478.45236
21,SZ000876,0.0009187788950046,1.0,0.018788815,-0.017870035649673134,0.017870035649673134,,,2026-04-24,10.7939,11.110718
22,SZ002074,0.0009187788950046,1.0,-0.010625303,0.01154408168660006,0.01154408168660006,,,2026-04-24,3.7588613,3.7704327
23,SZ002415,0.0009187788950046,1.0,0.02002275,-0.01910397100581327,0.01910397100581327,,,2026-04-24,2.8707905,2.9730766
24,SH601995,0.0009187788950046,1.0,0.008849621,-0.007930841924087197,0.007930841924087197,SH601995,中金公司,2026-04-24,0.025370885,0.025775207
25,SH600741,0.0009187788950046,1.0,-0.009054482,0.009973260878189415,0.009973260878189415,SH600741,华域汽车,2026-04-24,25.532982,25.67425
26,SH600660,0.0009187788950046,1.0,-0.000505507,0.001424285887344688,0.001424285887344688,SH600660,福耀玻璃,2026-04-24,211.70253,213.05534
27,SH600926,0.0009187788950046,1.0,0.023489952,-0.022571173192397744,0.022571173192397744,SH600926,杭州银行,2026-04-24,0.27328822,0.2800292
28,SH600036,0.0009187788950046,1.0,0.005562067,-0.004643288136855751,0.004643288136855751,SH600036,招商银行,2026-04-24,14.565034,14.656784
29,SZ000333,0.0002985159978703,1.0,0.011953592,-0.01165507630254474,0.01165507630254474,,,2026-04-24,1.4174777,1.4406679
