,instrument,avg_score,pos_ratio,real_label,error,abs_error,code,name,datetime,n1close,n2high
0,SZ002241,0.0651031580467269,1.0,0.035523057,0.02958010106277914,0.02958010106277914,,,2026-05-25,16.20937,17.206598
1,SZ000333,0.0620358988672424,1.0,0.006039977,0.05599592179357297,0.05599592179357297,,,2026-05-25,1.4183565,1.4313893
2,SZ001965,0.0569056912148957,1.0,-0.0073692203,0.06427491147170111,0.06427491147170111,,,2026-05-25,0.13808087,0.13848622
3,SH600011,0.0416604413959328,1.0,0.026680112,0.014980329510861999,0.014980329510861999,SH600011,华能国际,2026-05-25,1.1297139,1.1689365
4,SH600377,0.0410111271678316,1.0,0.011223555,0.029787572556625543,0.029787572556625543,SH600377,宁沪高速,2026-05-25,3.0002594,3.034004
5,SH601995,0.0392233602983283,1.0,-0.009319425,0.048542784927539724,0.048542784927539724,SH601995,中金公司,2026-05-25,0.025645474,0.025838414
6,SH601066,0.034818046882192,1.0,0.00038194656,0.034436100318471295,0.034436100318471295,SH601066,中信建投,2026-05-25,0.47493634,0.47870272
7,SH600674,0.0327699133673311,1.0,-0.0059464574,0.038716370753347946,0.038716370753347946,SH600674,川投能源,2026-05-25,67.56189,67.87474
8,SH601618,0.0300709915517868,0.6666666666666666,-0.00817436,0.0382453513502182,0.0382453513502182,SH601618,中国中冶,2026-05-25,0.09881587,0.098944016
9,SH601225,0.0260079363967721,0.6666666666666666,0.029729128,-0.0037211914871390327,0.0037211914871390327,SH601225,陕西煤业,2026-05-25,3.5087473,3.6177495
10,SH600570,0.0244400793774995,0.6666666666666666,-0.025768042,0.050208120988217274,0.050208120988217274,SH600570,恒生电子,2026-05-25,133.52997,134.35202
11,SH600999,0.0211014379913473,1.0,-0.004577875,0.0256793131286764,0.0256793131286764,SH600999,招商证券,2026-05-25,0.07658883,0.0786301
12,SH601901,0.0190897904629867,0.3333333333333333,-0.013140559,0.03223034965945887,0.03223034965945887,SH601901,方正证券,2026-05-25,0.2604636,0.26279724
13,SH601088,0.0179693040918826,0.6666666666666666,0.029013276,-0.01104397200827609,0.01104397200827609,SH601088,中国神华,2026-05-25,0.06725345,0.06939953
14,SH600030,0.0162425194680885,1.0,-0.016786397,0.03302891597153698,0.03302891597153698,SH600030,中信证券,2026-05-25,45.994553,46.345623
15,SH600795,0.0155201349836455,1.0,0.0020200014,0.013500133572207512,0.013500133572207512,SH600795,国电电力,2026-05-25,38.908646,39.065845
16,SZ000661,0.0117753874296616,0.3333333333333333,-0.025086224,0.036861611508793676,0.036861611508793676,,,2026-05-25,7.1719813,7.138645
17,SZ002236,0.0080985961823335,0.6666666666666666,-0.00448972,0.012588316050039799,0.012588316050039799,,,2026-05-25,24.652832,25.359941
18,SH600018,0.0076479128726573,0.3333333333333333,-0.008148968,0.01579688109241438,0.01579688109241438,SH600018,上港集团,2026-05-25,1.0112166,1.0146351
19,SZ002594,0.0022833229141614,0.3333333333333333,-0.013785183,0.016068506343879418,0.016068506343879418,,,2026-05-25,1.4784881,1.4894835
20,SH600905,0.00207725374647,0.6666666666666666,-0.0068965554,0.008973809170206572,0.008973809170206572,SH600905,三峡能源,2026-05-25,0.31550768,0.31499547
21,SH601059,0.0008262779127823,0.6666666666666666,-0.004553199,0.0053794767271743895,0.0053794767271743895,SH601059,信达证券,2026-05-25,0.12606983,0.12637514
22,SH601136,0.0005519690789089,0.3333333333333333,-0.016656041,0.017208010224233607,0.017208010224233607,SH601136,首创证券,2026-05-25,0.15438688,0.15552706
