,instrument,avg_score,pos_ratio,real_label,error,abs_error,code,name,datetime,n1close,n2high
0,SZ002384,0.1362678025397781,0.3333333333333333,0.08832586,0.0479419444236282,0.0479419444236282,,,2026-04-08,1.566932,1.7236297
1,SZ000630,0.124869920143429,0.6666666666666666,-0.0016192198,0.12648913992339728,0.12648913992339728,,,2026-04-08,22.7417,23.115444
2,SH600115,0.1013350052070537,1.0,-0.034428835,0.13576384012221482,0.13576384012221482,SH600115,中国东航,2026-04-08,0.5563588,0.57117033
3,SH688396,0.0952076902129711,0.6666666666666666,-0.007773578,0.10298126837993277,0.10298126837993277,SH688396,华润微,2026-04-08,0.02879483,0.029358558
4,SH600489,0.0807848746124603,1.0,-0.012954056,0.09373893087543027,0.09373893087543027,SH600489,中金黄金,2026-04-08,63.269432,64.112755
5,SH601138,0.073127343790642,0.6666666666666666,0.027167201,0.0459601427484667,0.0459601427484667,SH601138,工业富联,2026-04-08,0.19841833,0.20649406
6,SH603993,0.0728508715952574,0.6666666666666666,-0.008375943,0.08122681430231916,0.08122681430231916,SH603993,洛阳钼业,2026-04-08,2.7983255,2.8436515
7,SZ300308,0.0623923987295834,1.0,0.06007123,0.0023211687948910195,0.0023211687948910195,,,2026-04-08,63.4559,68.03605
8,SH601838,0.0617082504566962,1.0,0.010216594,0.051491656714325595,0.051491656714325595,SH601838,成都银行,2026-04-08,0.34231025,0.3479147
9,SZ300759,0.0607029969435651,0.6666666666666666,0.018388629,0.04231436798390934,0.04231436798390934,,,2026-04-08,1.3654808,1.4353708
10,SH603799,0.0582743442195273,1.0,0.032446623,0.025827721371016556,0.025827721371016556,SH603799,华友钴业,2026-04-08,8.2543745,8.638815
11,SH600887,0.057583595054335,1.0,0.00076186657,0.05682172848481596,0.05682172848481596,SH600887,伊利股份,2026-04-08,74.78157,75.81168
12,SH600111,0.0565231600075946,1.0,-0.0009659529,0.05748911288082458,0.05748911288082458,SH600111,北方稀土,2026-04-08,106.02635,108.07305
13,SH600233,0.0542789667222941,0.6666666666666666,0.02907765,0.025201317605777984,0.025201317605777984,SH600233,圆通速递,2026-04-08,1.780274,1.8498441
14,SH600989,0.0541252605407841,1.0,0.00874722,0.045378040501416424,0.045378040501416424,SH600989,宝丰能源,2026-04-08,0.16537623,0.16726471
15,SH600219,0.053123544151957,1.0,-0.0127494335,0.06587297766941305,0.06587297766941305,SH600219,南山铝业,2026-04-08,3.2892513,3.3094575
16,SH601668,0.0526161445985231,1.0,0.0016977787,0.050918365896740876,0.050918365896740876,SH601668,中国建筑,2026-04-08,0.65611887,0.659668
17,SH601816,0.0495886600450023,1.0,-0.00927639,0.058865050120685894,0.058865050120685894,SH601816,京沪高铁,2026-04-08,0.12702805,0.1272133
18,SZ000001,0.0495221557774093,1.0,-0.0008970499,0.05041920568127893,0.05041920568127893,,,2026-04-08,1.2807089,1.2841803
19,SZ000858,0.0472860743451543,1.0,-0.0051655173,0.052451591675323976,0.052451591675323976,,,2026-04-08,19.638643,19.70564
20,SH600585,0.0463273841519471,1.0,-0.00092953444,0.04725691858721932,0.04725691858721932,SH600585,海螺水泥,2026-04-08,20.438082,20.623577
21,SH600600,0.0450476068667001,1.0,-0.002578199,0.04762580577645962,0.04762580577645962,SH600600,青岛啤酒,2026-04-08,2.7087848,2.715607
22,SZ002493,0.0426368908049137,1.0,-0.00075882673,0.0433957175375492,0.0433957175375492,,,2026-04-08,0.77217174,0.7777148
23,SH600160,0.0425019540766511,0.6666666666666666,0.0028988123,0.03960314178264475,0.03960314178264475,SH600160,巨化股份,2026-04-08,25.657915,25.92498
24,SH600926,0.0418387003134044,1.0,0.001334548,0.0405041523168834,0.0405041523168834,SH600926,杭州银行,2026-04-08,0.27486268,0.27607793
25,SH601166,0.0417441782853923,1.0,-0.0037822723,0.04552645062425949,0.04552645062425949,SH601166,兴业银行,2026-04-08,1.28417,1.2875733
26,SZ300316,0.0405820970193226,0.3333333333333333,0.019090295,0.021491802181370936,0.021491802181370936,,,2026-04-08,3.172316,3.3034012
27,SH601169,0.0394589399612576,1.0,-0.0018790364,0.04133797638780179,0.04133797638780179,SH601169,北京银行,2026-04-08,0.25492352,0.2563258
28,SH600362,0.0388288204618833,1.0,-0.0032815337,0.04211035417999243,0.04211035417999243,SH600362,江西铜业,2026-04-08,7.0711803,7.1707597
29,SH601728,0.0387855082804132,1.0,0.008620739,0.030164769297258906,0.030164769297258906,SH601728,中国电信,2026-04-08,0.22606021,0.22956371
30,SZ000651,0.0381115206388461,1.0,0.0005362034,0.03757531725444668,0.03757531725444668,,,2026-04-08,464.14987,465.64258
31,SH601633,0.0377760424281804,1.0,0.027497292,0.01027875086323899,0.01027875086323899,SH601633,长城汽车,2026-04-08,2.323972,2.3967652
32,SH600660,0.0377634250765222,1.0,-0.0046798587,0.042443283761061996,0.042443283761061996,SH600660,福耀玻璃,2026-04-08,205.39893,206.04039
33,SZ003816,0.0377446174847301,0.6666666666666666,-0.013207555,0.050952172301929805,0.050952172301929805,,,2026-04-08,0.48007268,0.48113823
34,SH600941,0.0373302727483306,1.0,0.0038807392,0.033449533536294464,0.033449533536294464,SH600941,中国移动,2026-04-08,0.04097835,0.04122639
35,SH601939,0.0368057331254374,1.0,-0.0034587383,0.040264471452463764,0.040264471452463764,SH601939,建设银行,2026-04-08,0.7913267,0.7901202
36,SZ300413,0.0366494242813592,0.3333333333333333,0.01702249,0.01962693377995539,0.01962693377995539,,,2026-04-08,0.38428012,0.39424044
37,SZ300251,0.0358418566639331,0.6666666666666666,0.0024673939,0.03337446278881103,0.03337446278881103,,,2026-04-08,2.1689787,2.234813
38,SH605117,0.0354466337280801,0.6666666666666666,0.09998131,-0.06453467425531834,0.06453467425531834,SH605117,德业股份,2026-04-08,1.7047915,1.8752202
39,SZ002601,0.0344423930731905,1.0,0.0056802034,0.02876218963538532,0.02876218963538532,,,2026-04-08,0.23230718,0.23718762
40,SH601825,0.0343572486268853,1.0,0.017514586,0.016842662178215867,0.016842662178215867,SH601825,沪农商行,2026-04-08,0.13890006,0.14268956
41,SZ002460,0.0338834650185666,0.6666666666666666,0.036661386,-0.002777921471301563,0.002777921471301563,,,2026-04-08,4.618299,4.9592066
42,SH601998,0.0335208311837978,1.0,-0.0035461187,0.03706694992006489,0.03706694992006489,SH601998,中信银行,2026-04-08,0.26875255,0.2701085
43,SH601600,0.0331861029767591,1.0,-0.032327533,0.06551363574500861,0.06551363574500861,SH601600,中国铝业,2026-04-08,0.044286843,0.04416473
