,instrument,avg_score,pos_ratio,real_label,error,abs_error,code,name,datetime,n1close,n2high
0,SZ300316,0.1144885940414086,0.5,0.004026413,0.11046218107754141,0.11046218107754141,,,2026-04-09,3.2328877,3.2941782
1,SH600547,0.0869868373870064,0.5,-0.017417014,0.10440385103217852,0.10440385103217852,SH600547,山东黄金,2026-04-09,176.44057,175.42963
2,SH600160,0.0854704200708661,1.0,-0.027306616,0.11277703637717103,0.11277703637717103,SH600160,巨化股份,2026-04-09,25.732725,25.732313
3,SH603986,0.0836168842609598,1.0,-0.011127472,0.09474435618478792,0.09474435618478792,SH603986,兆易创新,2026-04-09,7.5393863,7.6744933
4,SZ300782,0.0805734774094534,0.5,0.021624923,0.058948554657073035,0.058948554657073035,,,2026-04-09,1.0696865,1.1320133
5,SZ300759,0.0785245202485379,0.5,-0.014197111,0.09272163137829864,0.09272163137829864,,,2026-04-09,1.3906691,1.3967751
6,SH603993,0.0773133817474645,0.5,-0.005297065,0.08261044652865346,0.08261044652865346,SH603993,洛阳钼业,2026-04-09,2.7748654,2.7849824
7,SH688111,0.0760079109733366,0.5,-0.008690953,0.08469886422803631,0.08469886422803631,SH688111,金山办公,2026-04-09,0.015216626,0.015391618
8,SH601088,0.0751433523269568,1.0,-0.0012847781,0.07642813044509035,0.07642813044509035,SH601088,中国神华,2026-04-09,0.06962268,0.070104286
9,SH600219,0.0748380500699667,0.5,-0.012726903,0.08756495303169766,0.08756495303169766,SH600219,南山铝业,2026-04-09,3.247015,3.2372217
10,SH601857,0.0740024485867273,0.5,0.008352637,0.06564981129577271,0.06564981129577271,SH601857,中国石油,2026-04-09,0.020042872,0.0203777
11,SZ000977,0.0718801939260125,0.5,0.012426853,0.05945334074608086,0.05945334074608086,,,2026-04-09,3.3923943,3.5274642
12,SH600893,0.0710602165173059,0.5,-0.00081145763,0.07187167415127807,0.07187167415127807,SH600893,航发动力,2026-04-09,6.645018,6.676844
13,SZ002028,0.068711001844705,0.5,-0.046498477,0.11520947930365885,0.11520947930365885,,,2026-04-09,139.57104,138.35666
14,SZ300896,0.0684879105757506,1.0,-0.010002017,0.0784899275969298,0.0784899275969298,,,2026-04-09,0.0070378007,0.006991279
15,SZ300661,0.0672446720228228,0.5,-0.0194574,0.0867020718679461,0.0867020718679461,,,2026-04-09,3.975278,3.984127
16,SH600926,0.0651930226642993,1.0,0.0017769337,0.06341608899425535,0.06341608899425535,SH600926,杭州银行,2026-04-09,0.2752754,0.2760932
17,SH603799,0.0645265649800816,0.5,0.016286016,0.04824054946952251,0.04824054946952251,SH603799,华友钴业,2026-04-09,8.522281,8.738829
18,SH600919,0.0639384897247127,1.0,0.0027731657,0.06116532402189287,0.06116532402189287,SH600919,江苏银行,2026-04-09,0.36982578,0.37119082
19,SZ000895,0.0632937136061977,1.0,0.020399451,0.042894262350399365,0.042894262350399365,,,2026-04-09,64.72137,66.45853
20,SZ002625,0.0630987672354314,0.5,-0.0038449764,0.0669437436606023,0.0669437436606023,,,2026-04-09,4.790579,4.805397
21,SZ301236,0.0603321790734345,0.5,0.0011248589,0.05920732021723333,0.05920732021723333,,,2026-04-09,0.05553753,0.056178544
22,SZ001979,0.0600964195158458,1.0,0.015440583,0.04465583628678086,0.04465583628678086,,,2026-04-09,0.028235856,0.028719116
23,SH600362,0.0600377699232538,0.5,0.01426661,0.04577115977768495,0.04577115977768495,SH600362,江西铜业,2026-04-09,7.0483165,7.181928
24,SZ000001,0.0590169949332244,1.0,-0.0018090606,0.06082605550680228,0.06082605550680228,,,2026-04-09,1.2795651,1.2795506
25,SZ002709,0.0577332630140179,0.5,-0.00020629168,0.057939554689585525,0.057939554689585525,,,2026-04-09,25.076761,25.366999
26,SZ300498,0.0558339702906303,1.0,0.01876235,0.03707162020823284,0.03707162020823284,,,2026-04-09,0.025263205,0.026088687
27,SZ003816,0.0548483403198448,1.0,-0.0038240552,0.058672395514699535,0.058672395514699535,,,2026-04-09,0.4737361,0.47434556
28,SH601838,0.0543446934128292,0.5,-0.011326849,0.06567154287343101,0.06567154287343101,SH601838,成都银行,2026-04-09,0.3457328,0.34682816
29,SH601939,0.0540103093929329,1.0,0.008676767,0.04533354204368974,0.04533354204368974,SH601939,建设银行,2026-04-09,0.7884137,0.79612267
30,SH601600,0.0539915636736429,0.5,-0.0155902505,0.06958181416573885,0.06958181416573885,SH601600,中国铝业,2026-04-09,0.042880066,0.042619213
31,SH600029,0.052812168153614,0.5,-0.013171256,0.0659834237421455,0.0659834237421455,SH600029,南方航空,2026-04-09,1.1156883,1.1093917
32,SH601658,0.0508192625623144,1.0,-0.00146842,0.052287682591000924,0.052287682591000924,SH601658,邮储银行,2026-04-09,0.29471245,0.29502648
33,SH601628,0.0505962738789783,0.5,-0.0066902637,0.05728653762714724,0.05728653762714724,SH601628,中国人寿,2026-04-09,0.045118384,0.045028303
34,SZ000630,0.0498314152478157,0.5,0.022976756,0.026854659151929472,0.026854659151929472,,,2026-04-09,22.705332,23.301321
35,SZ302132,0.0479892886429802,0.5,0.029598117,0.018391171768285378,0.018391171768285378,,,2026-04-09,0.5321422,0.55447346
36,SH600989,0.047834714154457,1.0,0.009510517,0.038324197034095675,0.038324197034095675,SH600989,宝丰能源,2026-04-09,0.16681822,0.17211314
37,SH600941,0.047160855012012,1.0,-0.003690064,0.050850918965411655,0.050850918965411655,SH600941,中国移动,2026-04-09,0.04113886,0.041058443
38,SH600760,0.0465603875120177,0.5,0.06074369,-0.014183302025030639,0.014183302025030639,SH600760,中航沈飞,2026-04-09,5.6308427,6.0306025
39,SZ002475,0.0465479272294134,0.5,0.007216692,0.039331235258588206,0.039331235258588206,,,2026-04-09,43.62935,44.634014
40,SH601919,0.046239798623293,0.5,-0.0071467757,0.05338657434579666,0.05338657434579666,SH601919,中远海控,2026-04-09,0.32452938,0.32458824
41,SH600489,0.0461625814063687,0.5,-0.017507732,0.06367031332088896,0.06367031332088896,SH600489,中金黄金,2026-04-09,62.450153,62.244877
42,SZ002601,0.044714453379862,0.5,-0.011870623,0.05658507601474969,0.05658507601474969,,,2026-04-09,0.23362784,0.23309124
43,SH601328,0.0417450373379583,1.0,0.0070308447,0.03471419264954277,0.03471419264954277,SH601328,交通银行,2026-04-09,0.27464348,0.27648604
44,SH601808,0.0416775846267561,0.5,0.010813594,0.030863990762315184,0.030863990762315184,SH601808,中海油服,2026-04-09,0.014945945,0.015306937
45,SH601229,0.040563553889891,1.0,-0.0011095405,0.0416730943523849,0.0416730943523849,SH601229,上海银行,2026-04-09,0.20694329,0.20734715
46,SZ300274,0.0400606369714059,0.5,0.026377797,0.013682839844635877,0.013682839844635877,,,2026-04-09,10.469605,10.9114685
