,instrument,avg_score,pos_ratio,real_label,error,abs_error,code,name,datetime,n1close,n2high
0,SZ000895,0.0103767528076986,1.0,-0.0035042763,0.013881029083333366,0.013881029083333366,,,2026-04-10,66.041565,67.13073
1,SH600926,0.0103767528076986,1.0,0.0057649612,0.004611791565022819,0.004611791565022819,SH600926,杭州银行,2026-04-10,0.27577218,0.27782813
2,SH600887,0.0103767528076986,1.0,0.0011563301,0.009220422699056022,0.009220422699056022,SH600887,伊利股份,2026-04-10,74.32296,75.124695
3,SZ000001,0.0103767528076986,1.0,0.009034872,0.0013418807526448893,0.0013418807526448893,,,2026-04-10,1.277243,1.2887845
4,SH600018,0.0103767528076986,1.0,0.0011848211,0.009191931678853385,0.009191931678853385,SH600018,上港集团,2026-04-10,0.9938159,0.99616826
5,SH601766,0.0103767528076986,1.0,0.001095295,0.009281457855306022,0.009281457855306022,SH601766,中国中车,2026-04-10,1.1241269,1.1301929
6,SH601668,0.0103767528076986,1.0,0.010273933,0.00010281939705406896,0.00010281939705406896,SH601668,中国建筑,2026-04-10,0.65027076,0.658346
7,SH601169,0.0103767528076986,1.0,0.0071536303,0.003223122551045768,0.003223122551045768,SH601169,北京银行,2026-04-10,0.2544376,0.2571333
8,SZ000651,0.0103767528076986,1.0,0.003229618,0.007147134735188835,0.007147134735188835,,,2026-04-10,462.16028,464.52362
9,SH600585,0.0103767528076986,1.0,-0.00043284893,0.010809601738057487,0.010809601738057487,SH600585,海螺水泥,2026-04-10,20.257383,20.427584
10,SZ000538,0.0103767528076986,1.0,0.0058459044,0.0045308484574178385,0.0045308484574178385,,,2026-04-10,72.93931,73.392296
11,SH600660,0.0103767528076986,1.0,0.021094799,-0.010718046234049447,0.010718046234049447,SH600660,福耀玻璃,2026-04-10,204.25952,209.31616
12,SH600519,0.0084910539951089,1.0,0.0024873018,0.006003752168631849,0.006003752168631849,SH600519,贵州茅台,2026-04-10,81.46988,81.76846
