datetime,instrument,score,exp_name,rid,real_label,error,abs_error
2026-03-20,SZ000708,-0.05012427446049897,EXP_DEnsembleModel_Alpha158_csi300_custom_step0_s_20260320_13,c5f969c7ad3848c39096e3066e40a4a0,,,
2026-03-20,SZ000661,-0.10342710398593812,EXP_DEnsembleModel_Alpha158_csi300_custom_step0_s_20260320_13,c5f969c7ad3848c39096e3066e40a4a0,,,
2026-03-20,SH688981,-0.05699029115685885,EXP_DEnsembleModel_Alpha158_csi300_custom_step0_s_20260320_13,c5f969c7ad3848c39096e3066e40a4a0,,,
2026-03-20,SH688506,-0.06387825324799962,EXP_DEnsembleModel_Alpha158_csi300_custom_step0_s_20260320_13,c5f969c7ad3848c39096e3066e40a4a0,,,
2026-03-20,SH688472,0.028308252535167812,EXP_DEnsembleModel_Alpha158_csi300_custom_step0_s_20260320_13,c5f969c7ad3848c39096e3066e40a4a0,,,
2026-03-20,SH688396,0.03545647020806374,EXP_DEnsembleModel_Alpha158_csi300_custom_step0_s_20260320_13,c5f969c7ad3848c39096e3066e40a4a0,,,
2026-03-20,SH603893,-0.19228260291417062,EXP_DEnsembleModel_Alpha158_csi300_custom_step0_s_20260320_13,c5f969c7ad3848c39096e3066e40a4a0,,,
2026-03-20,SH603799,0.3135200113685684,EXP_DEnsembleModel_Alpha158_csi300_custom_step0_s_20260320_13,c5f969c7ad3848c39096e3066e40a4a0,,,
2026-03-20,SH603501,-0.1674056190989461,EXP_DEnsembleModel_Alpha158_csi300_custom_step0_s_20260320_13,c5f969c7ad3848c39096e3066e40a4a0,,,
2026-03-20,SH603392,0.051214531654014815,EXP_DEnsembleModel_Alpha158_csi300_custom_step0_s_20260320_13,c5f969c7ad3848c39096e3066e40a4a0,,,
2026-03-20,SH603369,-0.08192592743301057,EXP_DEnsembleModel_Alpha158_csi300_custom_step0_s_20260320_13,c5f969c7ad3848c39096e3066e40a4a0,,,
2026-03-20,SH603296,0.035852992322908235,EXP_DEnsembleModel_Alpha158_csi300_custom_step0_s_20260320_13,c5f969c7ad3848c39096e3066e40a4a0,,,
2026-03-20,SH603288,0.07491803734620404,EXP_DEnsembleModel_Alpha158_csi300_custom_step0_s_20260320_13,c5f969c7ad3848c39096e3066e40a4a0,,,
2026-03-20,SH603260,-0.14907009005663782,EXP_DEnsembleModel_Alpha158_csi300_custom_step0_s_20260320_13,c5f969c7ad3848c39096e3066e40a4a0,,,
2026-03-20,SH603259,0.1166104492523908,EXP_DEnsembleModel_Alpha158_csi300_custom_step0_s_20260320_13,c5f969c7ad3848c39096e3066e40a4a0,,,
2026-03-20,SH603195,0.09918490111175865,EXP_DEnsembleModel_Alpha158_csi300_custom_step0_s_20260320_13,c5f969c7ad3848c39096e3066e40a4a0,,,
2026-03-20,SH603019,-0.036634524568017905,EXP_DEnsembleModel_Alpha158_csi300_custom_step0_s_20260320_13,c5f969c7ad3848c39096e3066e40a4a0,,,
2026-03-20,SH601998,-0.0012137778561083148,EXP_DEnsembleModel_Alpha158_csi300_custom_step0_s_20260320_13,c5f969c7ad3848c39096e3066e40a4a0,,,
2026-03-20,SH601995,-0.0024149720399249197,EXP_DEnsembleModel_Alpha158_csi300_custom_step0_s_20260320_13,c5f969c7ad3848c39096e3066e40a4a0,,,
2026-03-20,SH601988,0.1012728603195067,EXP_DEnsembleModel_Alpha158_csi300_custom_step0_s_20260320_13,c5f969c7ad3848c39096e3066e40a4a0,,,
2026-03-20,SH601985,0.05329944883804171,EXP_DEnsembleModel_Alpha158_csi300_custom_step0_s_20260320_13,c5f969c7ad3848c39096e3066e40a4a0,,,
2026-03-20,SH603986,-0.24562703705996658,EXP_DEnsembleModel_Alpha158_csi300_custom_step0_s_20260320_13,c5f969c7ad3848c39096e3066e40a4a0,,,
2026-03-20,SZ000983,-0.027226377120627695,EXP_DEnsembleModel_Alpha158_csi300_custom_step0_s_20260320_13,c5f969c7ad3848c39096e3066e40a4a0,,,
2026-03-20,SH603993,0.16930082520099074,EXP_DEnsembleModel_Alpha158_csi300_custom_step0_s_20260320_13,c5f969c7ad3848c39096e3066e40a4a0,,,
2026-03-20,SH605499,0.03898585055867042,EXP_DEnsembleModel_Alpha158_csi300_custom_step0_s_20260320_13,c5f969c7ad3848c39096e3066e40a4a0,,,
2026-03-20,SH688303,0.03611018252819532,EXP_DEnsembleModel_Alpha158_csi300_custom_step0_s_20260320_13,c5f969c7ad3848c39096e3066e40a4a0,,,
2026-03-20,SH688271,-0.12351314475706517,EXP_DEnsembleModel_Alpha158_csi300_custom_step0_s_20260320_13,c5f969c7ad3848c39096e3066e40a4a0,,,
2026-03-20,SH688256,0.10234666728865964,EXP_DEnsembleModel_Alpha158_csi300_custom_step0_s_20260320_13,c5f969c7ad3848c39096e3066e40a4a0,,,
2026-03-20,SH688223,0.0734458889112101,EXP_DEnsembleModel_Alpha158_csi300_custom_step0_s_20260320_13,c5f969c7ad3848c39096e3066e40a4a0,,,
2026-03-20,SH688187,-0.10124521155413992,EXP_DEnsembleModel_Alpha158_csi300_custom_step0_s_20260320_13,c5f969c7ad3848c39096e3066e40a4a0,,,
2026-03-20,SH688169,0.06337494430948513,EXP_DEnsembleModel_Alpha158_csi300_custom_step0_s_20260320_13,c5f969c7ad3848c39096e3066e40a4a0,,,
2026-03-20,SH688126,-0.11970134178298714,EXP_DEnsembleModel_Alpha158_csi300_custom_step0_s_20260320_13,c5f969c7ad3848c39096e3066e40a4a0,,,
2026-03-20,SH688111,-0.024020001799755688,EXP_DEnsembleModel_Alpha158_csi300_custom_step0_s_20260320_13,c5f969c7ad3848c39096e3066e40a4a0,,,
2026-03-20,SH688082,-0.012070904415570257,EXP_DEnsembleModel_Alpha158_csi300_custom_step0_s_20260320_13,c5f969c7ad3848c39096e3066e40a4a0,,,
2026-03-20,SH688047,-0.14562180925436327,EXP_DEnsembleModel_Alpha158_csi300_custom_step0_s_20260320_13,c5f969c7ad3848c39096e3066e40a4a0,,,
2026-03-20,SH688041,-0.1588471233154353,EXP_DEnsembleModel_Alpha158_csi300_custom_step0_s_20260320_13,c5f969c7ad3848c39096e3066e40a4a0,,,
2026-03-20,SH688036,-0.0825162635419194,EXP_DEnsembleModel_Alpha158_csi300_custom_step0_s_20260320_13,c5f969c7ad3848c39096e3066e40a4a0,,,
2026-03-20,SH688012,-0.028246181029813088,EXP_DEnsembleModel_Alpha158_csi300_custom_step0_s_20260320_13,c5f969c7ad3848c39096e3066e40a4a0,,,
2026-03-20,SH688009,-0.03391084733820923,EXP_DEnsembleModel_Alpha158_csi300_custom_step0_s_20260320_13,c5f969c7ad3848c39096e3066e40a4a0,,,
2026-03-20,SH688008,0.008986069655488807,EXP_DEnsembleModel_Alpha158_csi300_custom_step0_s_20260320_13,c5f969c7ad3848c39096e3066e40a4a0,,,
